config,tokenize_ms,generate_ms,decode_ms,total_ms,new_tokens,tok_per_sec,tokenize_pct,generate_pct,decode_pct
int4-NF4 (base),10.483,10133.182,0.542,10144.208,160.6,15.752,0.116,99.882,0.008
int4-NF4-QLoRA (fine-tuned),15.802,10420.318,1.182,10437.302,174.2,16.722,0.132,99.858,0.01
